,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
41,Woezel & Pip - 5 minuten verhaaltjes,7.99,2.0,,,"5,0/5 (1 review)",Nederlands,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",5.0,1.0,"1.5, 2.5, 3.5",2.5,
42,Kikker en de vreemdeling,4.99,3.0,32.0,,"5,0/5 (7 reviews)",Nederlands,vanaf 3 jaar,5.0,7.0,3.5,3.5,32.0
43,My Book of Songs and Lullabies,5.49,2.0,,24.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
44,Koken met de liefste papa,3.99,3.0,32.0,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,32.0
45,Hey Duggee - Hey Duggee: The Tooth Brushing Badge,4.99,,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
46,Lotte en Roos - Samen ben je niet alleen,7.49,4.0,,,no reviews,Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,
47,Elisa tiene una hermanita,4.99,2.0,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
48,Mama's Day with Little Gray,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
49,Woezel & Pip - De mooiste verhalen,7.99,2.0,,,no reviews,Nederlands,vanaf 2 jaar,,,2.5,2.5,
50,My Cat Likes to Hide in Boxes,6.49,2.0,,32.0,no reviews,Engels,"0-12 maanden, vanaf 3 jaar, vanaf 5 jaar",,,"0.5, 3.5, 5.5",3.1666666666666665,32.0
51,The Trouble with Tractors,0.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
52,Nederlands - Ik hou ervan de waarheid te vertellen,6.46,2.0,,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,
53,"Hallo, kleines Pony!",3.99,,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
